"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Henry Smith ","@HenrySmithUK","Conservative","Crawley",16980,7
"Deidre Brock ","@DeidreBrock","Scottish National Party","Edinburgh North and Leith",16890,-2
"Patrick Grady ","@GradySNP","Scottish National Party","Glasgow North",16802,-1
"Gareth Thomas ","@GarethThomasMP","Labour","Harrow West",16734,1
"Will Quince ","@willquince","Conservative","Colchester",16674,0
"Sarah Olney","@sarahjolney1","Liberal Democrat","Richmond Park",16668,1
"David Mundell ","@DavidMundellDCT","Conservative","Dumfriesshire, Clydesdale & Tweeddale",16668,0
"Nigel Huddleston ","@HuddlestonNigel","Conservative","Mid Worcestershire",16616,5
"Peter Grant ","@PeterGrantMP","Scottish National Party","Glenrothes",16457,-3
"Anna McMorrin","@AnnaMcMorrin","Labour","Cardiff North",16387,-1
"Margaret Ferrier ","@MargaretFerrier","Independent","Rutherglen and Hamilton West",16372,2
"Adam Afriyie ","@AdamAfriyie","Conservative","Windsor",16358,-1
"Mims Davies ","@mimsdavies","Conservative","Mid Sussex",16301,-3
"Chris Stephens ","@ChrisStephens","Scottish National Party","Glasgow South West",16296,6
"Abena Oppong-Asare","@abenaopp","Labour","Erith and Thamesmead",16166,-1
"Peter Dowd ","@Peter_Dowd","Labour","Bootle",16150,3
"Joy Morrissey","@joymorrissey","Conservative","Beaconsfield",16123,0
"Wendy Morton ","@morton_wendy","Conservative","Aldridge-Brownhills",16090,16
"Drew Hendry ","@drewhendrySNP","Scottish National Party","Inverness, Nairn, Badenoch and Strathspey",15965,-4
"Alec Shelbrooke ","@AlecShelbrooke","Conservative","Elmet and Rothwell",15892,1
"Mark Garnier ","@Mark4WyreForest","Conservative","Wyre Forest",15882,5
"David T. C. Davies ","@DavidTCDavies","Conservative","Monmouth",15839,2
"Kirsten Oswald ","@kirstenoswald","Scottish National Party","East Renfrewshire",15760,3
"Andrew Jones","@AJonesMP","Conservative","Harrogate and Knaresborough",15690,-1
"Tonia Antoniazzi","@ToniaAntoniazzi","Labour","Gower",15614,1
"Dr Andrew Murrison ","@AWMurrison","Conservative","South West Wiltshire",15605,5
"Neil Gray ","@neilgraysnp","Scottish National Party","Airdrie and Shotts",15560,-2
"Paul Scully ","@scullyp","Conservative","Sutton and Cheam",15477,2
"Geraint Davies ","@GeraintDaviesMP","Labour","Swansea West",15390,-5
"Kelly Tolhurst ","@KellyTolhurst","Conservative","Rochester and Strood",15185,3
"William Wragg ","@William_Wragg","Conservative","Hazel Grove",15181,4
"Kim Johnson","@KimJohnsonMP","Labour","Liverpool, Riverside",15177,1
"Judith Cummins ","@JudithCummins","Labour","Bradford South",14849,2
"Christian Matheson ","@ChrisM4Chester","Labour","City of Chester",14718,2
"Douglas Chapman ","@DougChapmanSNP","Scottish National Party","Dunfermline and West Fife",14712,-2
"David Warburton ","@DJWarburton","Conservative","Somerton and Frome",14687,-2
"Olivia Frances Blake","@_OliviaBlake","Labour","Sheffield, Hallam",14685,-2
"Brendan O'Hara ","@BrendanOHaraMP","Scottish National Party","Argyll and Bute",14684,2
"Stephen McPartland ","@SMcPartland","Conservative","Stevenage",14663,7
"Alicia Kearns","@aliciakearns","Conservative","Rutland and Melton",14626,6
"James Heappey ","@JSHeappey","Conservative","Wells",14553,1
"Wayne David ","@WayneDavid_MP","Labour","Caerphilly",14529,-3
"Gavin Robinson ","@GRobinsonDUP","Democratic Unionist Party","Belfast East",14521,7
"Paula Barker","@PaulaBarkerMP","Labour","Liverpool, Wavertree",14516,3
"Amy Callaghan","@AmyCallaghanSNP","Scottish National Party","East Dunbartonshire",14502,-2
"Gavin Newlands ","@GavNewlandsSNP","Scottish National Party","Paisley and Renfrewshire North",14432,0
"Steve Double ","@stevedouble","Conservative","St Austell and Newquay",14347,4
"Robin Walker ","@WalkerWorcester","Conservative","Worcester",14315,2
"Clive Efford ","@CliveEfford","Labour","Eltham",14220,0
"Bim Afolami","@BimAfolami","Conservative","Hitchin and Harpenden",14177,2
"David Morris ","@davidmorrisml","Conservative","Morecambe and Lunesdale",14148,2
"Christine Jardine","@cajardineMP","Liberal Democrat","Edinburgh West",14102,-3
"David Evennett ","@DavidEvennett","Conservative","Bexleyheath and Crayford",14100,2
"Lisa Cameron","@DrLisaCameronMP","Scottish National Party","East Kilbride, Strathaven and Lesmahagow",14028,1
"Stephen Farry","@StephenFarryMP","Alliance Party of Northern Ireland","North Down",13945,5
"Nigel Adams","@nadams","Conservative","Selby and Ainsty",13918,8
"Rosie Cooper ","@rosie4westlancs","Labour","West Lancashire",13912,0
"Alun Cairns ","@AlunCairns","Conservative","Vale of Glamorgan",13897,-1
"David Jones ","@DavidJonesMP","Conservative","Clwyd West",13886,1
"Edward Leigh ","@EdwardLeighMP","Conservative","Gainsborough",13877,-1
"Rebecca Pow ","@pow_rebecca","Conservative","Taunton Deane",13780,0
"Yvonne Fovargue ","@Y_FovargueMP","Labour","Makerfield",13723,1
"Munira Wilson","@munirawilson","Liberal Democrat","Twickenham",13715,2
"Jessica Morden ","@jessicamordenmp","Labour","Newport East",13708,0
"Nigel Evans","@nigelmp","Conservative","Ribble Valley",13657,-1
