full_code,short_code,name,name_cy,slug,gss_code,three_code,nation,region,con_type,electorate,area,density,center_lat,center_lon,"lat,lon"
uk.org.mysociety.cons.ukparl.2025.eaw,UKPARL.2025.EAW,Esher and Walton,,esher-and-walton,E14001230,EAW,England,South East,borough,73280,47.62885007,1538.563284,51.37749866,-0.3742062957,"51.3774986565189,-0.374206295744568"
uk.org.mysociety.cons.ukparl.2025.eae,UKPARL.2025.EAE,Epsom and Ewell,,epsom-and-ewell,E14001227,EAE,England,South East,borough,76844,58.2018836,1320.300912,51.32471287,-0.2836967634,"51.3247128687558,-0.283696763447488"
uk.org.mysociety.cons.ukparl.2025.rei,UKPARL.2025.REI,Reigate,,reigate,E14001442,REI,England,South East,county,76139,87.56845669,869.479752,51.27218327,-0.2032085798,"51.2721832718843,-0.203208579842744"
uk.org.mysociety.cons.ukparl.2025.esu,UKPARL.2025.ESU,East Surrey,,east-surrey,E14001215,ESU,England,South East,county,73145,259.7833919,281.5614942,51.22924087,-0.04800610617,"51.2292408712165,-0.0480061061694838"
uk.org.mysociety.cons.ukparl.2025.dah,UKPARL.2025.DAH,Dorking and Horley,,dorking-and-horley,E14001201,DAH,England,South East,county,70317,280.5486516,250.6410193,51.19845254,-0.3165905249,"51.1984525417833,-0.316590524894593"
uk.org.mysociety.cons.ukparl.2025.gui,UKPARL.2025.GUI,Guildford,,guildford,E14001258,GUI,England,South East,county,71367,126.0937782,565.9835167,51.26698728,-0.5094361747,"51.2669872805514,-0.509436174652845"
uk.org.mysociety.cons.ukparl.2025.gaa,UKPARL.2025.GAA,Godalming and Ash,,godalming-and-ash,E14001249,GAA,England,South East,county,71399,344.9934672,206.9575421,51.16578067,-0.5898023708,"51.1657806650532,-0.589802370798214"
uk.org.mysociety.cons.ukparl.2025.wok,UKPARL.2025.WOK,Woking,,woking,E14001592,WOK,England,South East,borough,71737,63.60360392,1127.87634,51.31387862,-0.5607701053,"51.3138786208702,-0.56077010528047"
uk.org.mysociety.cons.ukparl.2025.srh,UKPARL.2025.SRH,Surrey Heath,,surrey-heath,E14001532,SRH,England,South East,county,70825,130.4832896,542.7898102,51.32503429,-0.670655532,"51.3250342927722,-0.670655531966479"
uk.org.mysociety.cons.ukparl.2025.fab,UKPARL.2025.FAB,Farnham and Bordon,,farnham-and-bordon,E14001234,FAB,England,South East,county,72938,169.3987291,430.5699362,51.1379886,-0.7980145374,"51.137988604839,-0.798014537406856"
